mode,image,noise,noise_level,method,mse,psnr,ssim_rgb,ssim_channels_mean
synthetic,01_gauss_15,gaussian,15.0,dft,387.94470977783203,22.24310526895951,0.5041185702473848,0.5041185702473848
synthetic,01_gauss_15,gaussian,15.0,dct,383.634637620714,22.291625490000882,0.5010089080722255,0.5010089080722255
synthetic,01_gauss_22.5,gaussian,22.5,dft,405.1935636732313,22.05417822707308,0.4841584932049698,0.4841584932049698
synthetic,01_gauss_22.5,gaussian,22.5,dct,401.0252100626628,22.099086858862336,0.4816495244552366,0.4816495244552366
synthetic,01_saltpepper_0.03,salt_pepper,0.03,dft,410.1819068060981,22.001038612167743,0.4771060255588911,0.4771060255588911
synthetic,01_saltpepper_0.03,salt_pepper,0.03,dct,405.9673377143012,22.045892672440715,0.47459762979215375,0.47459762979215375
synthetic,01_saltpepper_0.045,salt_pepper,0.045,dft,429.7343690660265,21.79880272022676,0.45786820617507157,0.45786820617507157
synthetic,01_saltpepper_0.045,salt_pepper,0.045,dct,425.77443440755206,21.83900780160767,0.45584193289294156,0.45584193289294156
synthetic,02_gauss_15,gaussian,15.0,dft,94.72282833523221,28.366257036676366,0.6828191141938228,0.6828191141938228
synthetic,02_gauss_15,gaussian,15.0,dct,90.89626057942708,28.545343439069477,0.6802003569860843,0.6802003569860843
synthetic,02_gauss_22.5,gaussian,22.5,dft,111.27769554985895,27.66672237596563,0.6240924950596809,0.6240924950596809
synthetic,02_gauss_22.5,gaussian,22.5,dct,107.5373026529948,27.815212219536242,0.6221280086265336,0.6221280086265336
synthetic,02_saltpepper_0.03,salt_pepper,0.03,dft,126.96112993028429,27.09409581964347,0.5944182337963525,0.5944182337963525
synthetic,02_saltpepper_0.03,salt_pepper,0.03,dct,123.14559766981337,27.226614700024232,0.5918029312350476,0.5918029312350476
synthetic,02_saltpepper_0.045,salt_pepper,0.045,dft,149.34297858344183,26.388955519669246,0.5478505483901653,0.5478505483901653
synthetic,02_saltpepper_0.045,salt_pepper,0.045,dct,145.85426584879556,26.491612252675466,0.5460890063816665,0.5460890063816665
synthetic,03_gauss_15,gaussian,15.0,dft,83.59837765163846,28.908825114645133,0.7390413547177056,0.7390413547177056
synthetic,03_gauss_15,gaussian,15.0,dct,80.13007948133681,29.092847873482796,0.7383543996356815,0.7383543996356815
synthetic,03_gauss_22.5,gaussian,22.5,dft,101.16128709581163,28.08066014542591,0.6661427573713538,0.6661427573713538
synthetic,03_gauss_22.5,gaussian,22.5,dct,97.78571150037978,28.228049607826303,0.6654621768252776,0.6654621768252776
synthetic,03_saltpepper_0.03,salt_pepper,0.03,dft,107.8428200615777,27.802891248409054,0.6541043085102288,0.6541043085102288
synthetic,03_saltpepper_0.03,salt_pepper,0.03,dct,104.54704708523221,27.937685901197682,0.6538032216348731,0.6538032216348731
synthetic,03_saltpepper_0.045,salt_pepper,0.045,dft,128.95501878526477,27.02642111808988,0.5974690599869792,0.5974690599869792
synthetic,03_saltpepper_0.045,salt_pepper,0.045,dct,125.65021599663629,27.139171213729277,0.5971721624000191,0.5971721624000191
synthetic,04_gauss_15,gaussian,15.0,dft,99.0837894015842,28.170777532979983,0.7180525887188175,0.7180525887188175
synthetic,04_gauss_15,gaussian,15.0,dct,94.59679158528645,28.37203954069027,0.7168731594182877,0.7168731594182877
synthetic,04_gauss_22.5,gaussian,22.5,dft,116.25128597683377,27.47682595094704,0.6597268622131485,0.6597268622131485
